keyword,count
art studio,10
fabrication,22
design,11
visual art,13
writing,9
artist publishing,1
zine,1
risograph,1
print,1
craft,1
punk,1
diy,1
critical thinking,16
3d design,9
guest artist,10
material workshop,1
art in nyc,2
acting,10
live performance,32
movement,16
theater,10
improvisation,6
ensemble,2
film / video,20
music / sound,16
dance,6
choreography,5
composition,1
installation,3
post production,1
editing,4
cinematography,3
collaboration,10
storyboarding,1
pitching,2
presenting,1
producing,3
time based art,1
performance art,3
somatic practice,3
live nyc,6
electronics / physical computing,4
extended technique,1
hyperreality,1
set design,1
interactive,5
Touch Designer,2
AI,4
computer performance,4
research,8
concept development,2
art history,1
experimental,4
philosophy,1
reading,3
responsivenes,1
directing,5
devising,2
problem solving,1
conflict management,1
lighting,5
fashion / wearable,2
fashion / wearabe,1
fabric,1
dye,1
politic,1
pattern,2
architecture,2
inflatable,1
collapsable,1
puppet,2
wearable,2
activism,1
audition prep,1
script analysis,1
building character,1
physicality in frame,1
selftape audition,1
framing,1
continuity ,1
critique,1
creative coding,7
online performance,2
a/v system,1
speech,4
integration of different media,1
 intersectionality,1
interdisciplinary,1
exercise,1
conditioning,1
breathwork,2
yoga,1
jazz,1
body conditioning,1
sitespecific,1
prototyping,2
iterative design,2
arduino,2
studio,1
playtesting,1
multimedia,1
discussion,1
play,2
game design,4
immersive theater,3
animation,2
DJ / VJ,4
physidigital,1
spatial computing,1
new media art,1
digital,1
motion capture,2
vfx,1
virtual production,2
