Course,Professor,Area,Credits,Semester,Keywords,Short,Long,Media,Credit,Media,Credit,Media,Credit
Abrupt Climate Change,Peter Terezakis,STUDIES,4,Fall/Spring,,,"Combining science and the art of storytelling, this course will tackle one of the most pressing issues facing the future of humanity: Abrupt Climate Change. In a unique collaboration with NYU physical climate scientist Professor David Holland, students will research and create work that bridges the divide between science and the public through accurate, creative science-based storytelling. This highly multidisciplinary, hands-on course welcomes students from all backgrounds and fields of study to imagine and invent creative ways of telling stories about this global phenomenon and to investigate solutions. Weekly assignments will lead to a final collaborative project and an exhibition open to the public.",,,,,,
Acting and Devising Stories in Performance,Mary Bitel,ACTING,4,Spring,,"Acting and Devising Stories in Performance turns traditional, realistic actor training on its head to invent new ways of building compelling performances through multi-disciplinary, devised storytelling. This course is an important next step in actor crafting and strengthening skills in narrative performance. There will be a final performance of ensemble, devised pieces open to the public. ","This course was previously titled Advanced Acting: Realism and Beyond, and cannot be repeated.
This next level acting course turns traditional, realistic scene study on its head. We begin with the essentials: digging into the skills for building precise, emotionally connected, intelligently crafted, character-specific, and theatrically articulate performance inside a realistic context. We then use those skills as a springboard to invent new ways of building a compelling narrative through forms of multi-media and devised storytelling. In this course students explore and expand their understanding of “what is character?” And, who’s telling the story and why and how are they telling it? This course is a laboratory for constructing, deconstructing and reconstructing narrative – a place to turn the story on its head to see what new story we can make. Students will engage in studio exercises to build clear skills in acting technique and stage composition and practice with various forms of crafting theatrical stories. In addition, students are expected to analyze, rehearse, and perform one short, realistic two-person scene, create a solo devised piece, and participate in ensemble-devised, multi-media performance pieces for a final showing at the conclusion of the semester. Students are also required to complete a detailed character/script analysis to support their exploration of the journey from realistic theatre
to expanded forms of theatrical/performative storytelling.  This is a next level performance class; students must have successfully completed Acting I, Performance Practice or have equivalent experience in performance coursework to register for the class.",https://drive.google.com/open?id=16Z5f2et8_c_n7C3tApMNGq0ME8CYRZsq,Photo by Mary Bitel,,,,
Advanced Acting for the Camera,Kate Baggott,ACTING,4,Spring,"acting,critical making,film/video,research,writing,theater,live performance,lighting"," ""Advanced Acting for Camera'' Studio Intensive Screen Acting and Filmmaking Workshop.  In addition to expanding one’s acting techniques and skills,, each actor-filmmaker writes, co-writes and acts in scenes for the Bio-Pic project. Group created Fusion Short film  production teams may choose to fuse other artforms into the narrative.  Final: Screenings.","This studio intensive on-camera performance workshop is designed for multidisciplinary artists who want to strengthen skills specifically for acting on camera. The act of being filmed every class gives actors and performers more confidence and prepares them for working in professional settings. Class projects allow for interdisciplinary work incorporating writing, directing, music, animation, and visual arts. Actors work to develop and expand their individual set of acting techniques and technical skills that work best on screen to create specificity in ""moment-to-moment being,"" all of which expands the understanding of the actor’s role in visual storytelling. Students perform analyzed scripted scenes, “cold” reads, and improvize unscripted on-camera exercises. Equal time and energy in this workshop is dedicated to creating new work with two projects: Bio-Pic project, and  Fusion Short. The Bio-Pic project is a deep dive into character with each actor choosing a real person they identify with to research, curate, improv, write and portray in short scenes with acting and design support from other students. Fusion Short is a devised short film project.  Production teams will develop and film group generated scripts. For each Fusion Short, everyone acts (cameo, supporting or lead) and takes the lead on the creative production team as head writer, director, production design, director of photography. The short is open for fusion: creators may want to interweave other art forms (dance, design elements, music, digital art, etc) into the narrative.",https://drive.google.com/open?id=1TjsHpJ1KVJNhaGIT5P2XEnBvba0YO30S,Jaide Malone as Eartha Kitt (BioPic 2022),,,,
Animated Alchemy,Ithai Benjamin,IMAGE,4,Spring,,,"Animation is often considered an art form of synthesis— bringing together disciplines as varied as collage, cartooning, dance, puppetry, sleight-of-hand, sculpture, painting, printmaking, engineering, photography, sound design, music, and acting to forge wholly new kinds of ""moving pictures."" This hands-on class will explore the productive possibilities of adding a time-based dimension to a variety of artmaking modes. Emphasis will be placed upon experimentation, diy solutions and developing unique approaches to applying the principles of frame-by-frame filmmaking to one’s own practice. The course will survey artists and art movements that have uniquely embraced animation. Group and individual projects will engender a solid understanding of animation principles and provide students with a toolkit of strategies for creating animation in a variety of contexts— from optical toys, to short films, live-performance, documentary and large-scale projection. Open to those with no animation experience, and those with experience looking to deepen an understanding of their own creative process and voice.",,,,,,
Art and Technology,Peter Terezakis,TECHNOLOGY,4,Fall,,,"All art uses technology. Technology is not art. Whether a work of art is created to bridge the supernatural, convey experience, thought, or a world view, or something more, art is a three letter verb representing the result of an individual’s desire to create difference. This course is a crash course into contemporary technological literacy for all NYU students interested in expanding their range of artistic mediums, often using the history of art and technology as a point of reference. Prior knowledge of covered subject matter is not required, but would create an opportunity for deeper exploration by the student and enhance the classroom experience for others. ",,,,,,
Art on the Edge,Gustavo Aguilar,STUDIES,4,Spring,"art studio,critical making,critical thinking,visual art","This course is organized around key concepts, artists and artwork examples across key topics in contemporary art - “art of today, produced by artists who are living in the twenty-first century”. The main goal is to allow us to contemplate the process of interaction between visual art, history, cultural, socio-economical, and technological forces. The highlight of our gatherings will be on the artist as a thinker and a maker.","Taking off from the practices of medium-based art categories, this course is structured across key topics in contemporary art - “art of today, produced by artists who are living in the twenty-first century”. During the semester, via the framework of readings, projects and assignments, we will consider the importance of the visual arts in the larger context of society. Each week we will look at a different topic, which will be organized around key concepts, artists and artwork examples. The main goal is to allow us to contemplate the process of interaction between visual art, history, cultural, socio-economical, and technological forces. The stress of our gatherings will be on the artist as a thinker and a maker.",https://drive.google.com/open?id=1oJUyegb0ZapHeISifAZKsK-s47r5U7be,Cristine Oh - Making Bodies: Arrange all your possessions that you decided would remain yours into a space to optimize the characteristics of the set of words. An Absents of Body: #1 Spirit. Prayer. Ghost. Haunting Please document with a photo for each.,,,,
Art Palace,Despina Papadopoulos,SOUL,UNKNOWN,Fall,"art studio,critical making,critical thinking,guest artists,collaboration","Art Palace is a series of weekly talks/events presented by working artists, designers and researchers based in the greater New York area.  Students are introduced to a variety of multi- and inter-disciplinary practitioners, allowing students to listen to, learn from, converse with and collaborate with visiting artists. Every other week a guest artist from a different “area” of artistic practice will present their work to the students. ","Art Palace is a series of weekly talks/events presented by working artists with noteworthy careers in the greater New York area. Students will be introduced to a disparate variety of multi- and inter-disciplinary practitioners, allowing students to listen to, learn from and - in many cases - collaborate with visiting artists. Art Palace is required of all incoming students in their first semester, however each evening’s event is open to all Collaborative Arts majors who would like to participate.",https://drive.google.com/open?id=1R6H68xeAQKPHC0ldYoa9jv4i8tEcqo-B,"Carissa, Fina, Emma, Tyra, Javier, Marlon, Fiona",,,,
Artist Studio Practice,Kari Cholnoky,STUDIES,UNKNOWN,Fall,,,"This course will engage students directly in the discourse of contemporary art and in the hugely diverse practices of artists in their studios in New York. Framed predominantly around studio visits, the course will expose students to hybrid mediums and working strategies that will complicate, not facilitate, systems of categorization. Meeting outside of the physical classroom for the majority of the semester, students will be expected to be prepared to navigate the city independently to various locations across Manhattan, Brooklyn and Queens for site visits. Each week, we will sharpen our abilities of seeing, questioning and understanding not only physical spaces of creativity but also mental strategies of production across a wide variety of media. Supplementing the visual feast of these weekly adventures, students will participate in material workshops at a number of artist’s studios and will build a record of influences, ideas, research and modes of making in individual sketchbooks that will be compiled during the semester and which will help inform the class’s collaborative project at the culmination of the semester – a Studio Guide to assist in oblique strategies of creating. Weekly readings, videos and podcasts will introduce elements of art criticism, theory, philosophy and history and will inform our understanding of what we see and how we approach making in the studio. Prior experience in object-making is recommended, however, it is not required. This class is best suited to Collaborative Arts BFA students as well as NYU students through the Open Arts program.",,,,,,
Artwear,Flo Escudero,VISUAL ART,4,Spring,"art studio,design,fashion/wearable,visual art,critical making,theater,live performance","ARTWEAR: a combination of lectures that examine the overlaps between art, fashion and theatre  with a heavy enphasis on learning construction tecniques( patternmaking, sewing) for making wearable garments. ","This course will examine the overlaps between art, fashion, and theater as well as the way garments become activated. Students will consider what their roles are beyond consumers, as makers and wearers. This is a studio-based course that will introduce students to different ways of repurposing and reusing textiles found in the home through mending, dyeing techniques, sewing, and patternmaking. No prior experience in sewing is needed. There will be a strong emphasis on using non-traditional materials. Each method will be introduced through demonstrations and reinforced through assignments which include making a soft sculpture to wear, recreating an object/garment from a movie, making a costume that also functions as a set for one person, and creating an expandable piece. The class will cover different themes: storytelling, soft sculpture, color, activism and live performance. Lectures will introduce the work of artists and designers: Lee Bul, Leigh Bowery, Alexander Mcqueen, Franz Erhard Walther, Pat Olezko, Iris Van Herpen, The Cockettes, Piero Gilardi, and others who incorporate materiality and costume making as a way of expressing their creativity and ideals. Reading and viewings will be supplemented with updates on current designers collections and innovations in the field. Group critiques will function as a design laboratory, a place to share with their colleagues and get feedback for future pieces.",https://drive.google.com/open?id=1YXAZAev50zgBaizUbWGPOHP6bflYtY9a,"Angie, Bird, Nicole, Malina",,,,
Audio Storytelling: Creative Nonfiction,Ithai Benjamin,SOUND,4,Spring,,,"Through groundbreaking and creative nonfiction programs like S-Town, Have You Heard George’s Podcast?, and Radiolab, podcasting has taken hold in American culture over the last decade, having evolved into its own unique art form. This innovative medium is not bound by the limitations of traditional radio — podcasts can be heard anywhere in the world, produced in any language, and be of any length. In this course, students will learn how to embrace their unique voices as they produce compelling nonfiction stories solely in sound. Students will learn how to record, edit, and workshop audio stories, write for the ear and record narration, effectively employ music and sound design, and distribute a self-produced podcast.",,,,,,
Auto Performance Lab,Steven Drukman,WRITING,4,Fall,"acting,critical making,live performance,theater,writing","This is a creative workshop designed for writers who may yearn to act and actors who have an itch to write. Using one’s self as material, participants create a short solo performance for an end-of-semester presentation. The lab combines physical work—both with members of the group, and solo gesture work—with in-class/out-of-class writing exercises aimed at enhancing students’ capacities to transform the stuff of their real lives into mimetic performance. The final composition may stand alone as a finished, self-contained piece or may be an extended monologue planned as part of a longer performance with or without others, given the creator’s primary interest. In-class exercises, group critiques (though “responses” is the preferred term) as well as analysis of other established artists’ solo performances are used to shape students’ final compositions.","This is a creative workshop designed for playwrights who yearn to act and actors who have an itch to write. Using one’s self as material, participants create a short solo performance for an end-of-semester presentation. The lab combines physical work (both group and solo) with in-class/out-of-class writing exercises aimed at enhancing students’ capacities to transform the stuff of their real lives into mimetic fiction. The final composition may stand alone as a finished, self-contained piece or may be an extended monologue planned as part of a full- length play, given the creator’s primary interest (solo-performance vs. playwriting). In-class exercises, group critiques (though the instructor prefers the word “responses”) as well as analysis of other artists’ solo performances are used to shape students’ final compositions.",https://drive.google.com/open?id=1sn9bwtmwI856xEqOIoRXhbedMWVQ5dbs,no clue,,,,
Bodies in Cultural Landscapes,Patricia Hoffbauer,STUDIES,4,Fall,"critical thinking,film/video,live performance,music/sound,research","Basic tools of movement learning: moving across the space, physical coordination, rhythmic structures, problem-solving approach to physical prompts. Develop your physical intelligence and creative imagination through learning movement and generating short dances, alone and collectively. Final student showing open to the public. Field Trips to artists' rehearsals and performances. (This course focuses on the technology of the live body. How does our body interact with other bodies? How does our body move through space in time? How does our body deliver a literal narrative or an abstract expression? How does one's body articulate concepts in time and space?)","This course examines the Western fascination with the moving body in different cultural environments and throughout colonial and postcolonial historical periods until the present time. It will begin by investigating early images and artistic representation of the body in motion captured by European ethnographers at the turn of the 19th century, and continue tracing it to current trends of contemporary culture. The goal of this course is to develop a critical understanding of the culture built around the body as subject as well as a marker of otherness. This course will offer students an opportunity to study and articulate, intellectually and physically, the legibility of bodies in motion within different cultural landscapes. Bodies in Cultural Landscapes will provide an open forum in which to investigate human movement within the specific aesthetic system and cultural practice of early ethnographic representation to contemporary culture’s engagement with the moving body. It will offer insight into personal and cultural identity, stimulating an expanded recognition and appreciation of difference. This course offers students the opportunity to explore simultaneously their intellect (in class viewing, readings and discussions), as well as in the presentation of their own version of ethnographic research and representation based on a topic of their choice discussed with the instructor. Students will engage weekly with exercises and assignments based on course material.",https://drive.google.com/open?id=1lAMPNMt3prrMtc6mJBEWd1DqjMwGnpWk,"Mira Solomon's version of Martha Graham's Lamentation. Submission for the assignment: Create your version of Graham's iconic solo Lamentation (1930). Mira choreographed, movement, and designed video and soundtrack for her solo. Body as Art unit of course.",,,,
Body Library,Guest Artists and Ithai Benjamin,SOUL,UNKNOWN,Fall,,,"Following a year of exploring course electives in your second year, Body Library brings you back to create original work together in the ever expanding circle that is the Collaborative Arts Interdisciplinary Experience. Like Art Palace (3 hrs) and Jam house (48 hrs), Body Library (14 weeks) embodies the principles and vision of Collaborative Arts, asking you to: participate, observe, invent, create, and respond.",,,,,,
Choreocinema and the Expanding Eye,Kate Fisher,MOVEMENT,4,Spring,"critical making,design,film/video,music/sound,movement,visual art,collaboration,live performance",Explore choreocinema which melds choreographic thinking and experimental movement as these forms intersect with expanded cinema. This course examines the dynamic interplay of digital screens with embodied somatic practice and experimental film making. The final showing is a multi-channel immersive installation. ,"In the 1940s, Maya Deren, a trailblazer in choreography, dance, and experimental filmmaking, pioneered the groundbreaking concept of choreocinema"": a genre merging dynamic camera movement with dance. In 1970, media artist Gene Youngblood, penned the influential work ""Expanded Cinema""--exemplified by Andy Warhol's Exploding Plastic Inevitable, a revolutionary multimedia performance project melding live rock music and avant-garde film Projections. Today, contemporary artists like Jacolby Satterwhite carry forward this legacy, amalgamating choreocinema and expanded cinema through mediums such as performance, motion capture, and digital animation, to forge immersive installations. Their work resonates with our present era, marked by the ubiquitous presence of screens that have profoundly redefined our perception of reality, corporeal existence, and digital identities. ""Choreocinema and the Expanding Eye"" offers an immersive exploration of dance film, media installation and live performance using the interplay of time, space, movement and the human body. It introduces the concept of multi-channel installation, inviting students to design participatory multi-sensory environments that are nonlinear, experiential, and activated by live performance. Using digital tools and software, students will explore the art of “dancing for computers'', capturing and transforming choreographed and improvised movement into media projects, as well as choreographing and directing their peers. Students will also orchestrate 'happenings' that blend digital media with real-time artistic expression incorporating spatial and sound design. By the course's conclusion, students will have a strong grasp of the core principles of Choreocinema and the ability to navigate the evolving landscape of contemporary digital media as it pertains to the proliferation of screens around us. Formal training or experience as a director, choreographer, editor, cinematographer, creative technologist, dancer, performer, editor or producer are not required.",https://drive.google.com/open?id=1DtPQU9WsI7MUnFfXrL0q0s7FdX5x8Pq4,Anastasia Mezhanskaya,,,,
