Class Name,Short Description,Long Description,Professor,Area,Keywords,Skills,No of Credits,Core,Offered,Image
New Video Dimensions,,"This course was previously titled Making Webisodes, and cannot be repeated.
New Video Dimensions is a video production workshop where students conceive, produce, perform, direct and edit fully polished video media for a variety of interdisciplinary art forms - from immersive VR to interactive performance art, from movement-based performance to media guided participatory theater, to stand alone internet media and short films. Video is an integral part of many artistic disciplines and this class explores ways to reimagine conventional video production and harness the visceral impact of video within a wide range of unique interdisciplinary mediums. Each student pitches and chooses an interdisciplinary project they plan to create. They then team up with another student who will work with them to create video that will support that project. Emphasis is given to ways in which personal visual inspiration, as opposed to artistic imitation, can create innovative new forms of video art. Students will alternate roles as interdisciplinary artists and as video collaborators, so that each student creates a final video for a proposed interdisciplinary project. Students can also choose to work together within both roles for a single project, or stand alone video piece. All aspects of video production will be explored, including writing, choreography, acting, art direction, cinematography, music, editing, and more. The role of the video-maker will be explored as a collaborative partner with other interdisciplinary artists. Students use a variety of cameras & audio gear as they build upon the technical skills they learned in previous filmmaking courses. For the final projects, each proposed interdisciplinary project will be detailed in a powerpoint presentation, and the completed videos for those projects will be screened along with those presentations. Students are required to have taken one introductory video class with synchronous sound, or special permission can be given by the Professor on a case by case basis.",Bill Tunnicliffe,Image,,,4,,Spring,
Animated Alchemy,,"Animation is often considered an art form of synthesis— bringing together disciplines as varied as collage, cartooning, dance, puppetry, sleight-of-hand, sculpture, painting, printmaking, engineering, photography, sound design, music, and acting to forge wholly new kinds of ""moving pictures."" This hands-on class will explore the productive possibilities of adding a time-based dimension to a variety of artmaking modes. Emphasis will be placed upon experimentation, diy solutions and developing unique approaches to applying the principles of frame-by-frame filmmaking to one’s own practice. The course will survey artists and art movements that have uniquely embraced animation. Group and individual projects will engender a solid understanding of animation principles and provide students with a toolkit of strategies for creating animation in a variety of contexts— from optical toys, to short films, live-performance, documentary and large-scale projection. Open to those with no animation experience, and those with experience looking to deepen an understanding of their own creative process and voice.",TBA,Image,,,4,,Spring,
Professional Lighting & Camera Techniques,,"Students will learn how to shoot professional looking shots on prosumer cameras with minimal lighting — by applying the lessons of professional cinematography to prosumer video cameras, DSLR's, and cellphone videography. A wide variety of Camera Exercises are assigned to train the students to shoot movies with natural light and limited prosumer camera gear. 3-4 person crews are selected to work together on all the Camera Exercises, and for the Final Project as well. Students shoot with their own DSLR's, prosumer cameras, and/or cellphones. Pending availability (and CSI access) students can also choose from a selection of DSLR's and prosumer gear provided by the course (SONY A73, SONY A7R2, SONY A6400, Pocket Osmo Gimbal Camera, and Osmo 3 Gimbal for Cellphones). All camera exercises are screened and reviewed in class.  Students analyze and discuss their own work and are assigned reshoots and pick-up shooting assignments to reinforce their in-class learning. Early classes work with professional lighting gear on stage and students then go out into the field to film camera exercises and music videos utilizing available natural light and small practical light kits - while employing the lighting concepts and lessons they learned on stage.",Bill Tunnicliffe,Image,,,2,,Fall,
Queer Cinema,,"This production course allows students from all academic backgrounds to challenge their viewpoints, explore a frequently underrepresented area of film, expand their artistic practice, and apply film training through the lens of queer cinema. This course offers instruction for students who are eager to expand their understanding of queer cinema while also creating original works. This class includes analysis and creation of fiction, documentary and hybrid films. We will create and foster a learning environment that foregrounds the voices of LGBTQ+ artists, furthering the NYU and Tisch commitments to build and strengthen a university-wide culture of diversity and inclusion. The collaborative course blends film screenings, discussions and theoretical exploration with hands-on production experience. At the end of the semester, students will gain critical knowledge of significant works from the queer film canon, and hone their skills as filmmakers through the production of short cinematic works.",TBA,Image,,,4,,Occasionally ,
Reality and Creation,,"Reality & Creation is an interdisciplinary, collaborative workshop that requires students to develop and present original works using real-life material. While primarily focused on filmmaking - students may also explore writing and performance to investigate the artful manipulation of reality in order to evoke meaning and emotion. Students will explore the meanings of both documentary and narrative filmmaking - and the inherent conflicts between creative construction and telling true stories. They will analyze cinematic representations of reality and devise hybrid works that use inventive and surprising forms while playing with the notion of the real. Over the course of the semester, students will complete a series of classroom/studio projects as well as independent works from non-fiction sources: such as unscripted interviews, archival material, found footage and newsreel. These projects are designed to foster experimentation across the arts disciplines and to cultivate creative collaboration.",Rebecca Haimowitz,Image,,,4,,Spring,
Designing Motion,," In this course, we will explore the versatile usage of animation in the world of graphic design as a unique form of expression. We will examine how motion design combines movement, rhythm, space, and timing to orchestrate abstract shapes, words, and symbols. Through a series of weekly exercises, students will gain an understanding of key concepts in motion design while using and learning Adobe After Effects. We will follow the footsteps of motion design history, reconstructing classic pieces in order to gain a fundamental understanding of this art form. We will learn how graphic design, music, choreography, and acting can all be applied to the motion of design elements and furthermore, how the combination of animation and design can convey compelling stories, emotions, and ideas. Students will survey the technologies and methods that enabled the fields’ developments - from drawing on 18 mm film, the analog Scanimate in the 80s, to UX motion, interactive design, and contemporary live performances. Inspired by those traditions, students will be encouraged to take on an experimental approach, discuss thought processes, and develop their own visual language while combining interdisciplinary practices. 
*Adobe After Effects will be used as a main tool in the course, therefore a sufficient computer (over 16GB of RAM and a graphic card) is required.",TBA,Image,,,4,,Fall,
Fundamentals of Documentary Filmmaking II,,"“Documenting Discovery” is an intensive 14 week course combining lectures and creative workshops to fully explore documentary film production. Students will learn advanced non-fiction filmmaking techniques, including interviewing subjects, capturing visuals from real life and documentary storytelling. Over the course of the semester, students will hone their filmmaking skills through a series of exercises, leading up to a final project that focuses on a single subject. Focusing on both content and form, student filmmakers will choose a subject to research, interview and develop a documentary film with a clear narrative arc. Students can choose to focus on a friend or family member, or else they can choose from a pool of suggested subjects to document their process of artistic discovery.",Rebecca Haimowitz,Image,,,4,,Spring Only,
Fundamentals of Filmmaking II: Narrative Film ,,"FUNDAMENTALS OF FILMMAKING II: NARRATIVE FILM is an intensive production workshop for fiction filmmaking. Students write, direct, and produce one short, 5-7 minute, film. The course builds upon the visual storytelling tools learned in the prerequisite courses, Fundamentals of Filmmaking I, or Cinematic Narratives. Students will strengthen their skills in screenwriting, cinematography, aesthetics, and editing to further develop their personal filmmaking style. Students can choose to create a traditional narrative film with dialog, or they can choose alternative types of performance and filmmaking that create narrative style flow in different ways. Students must have a rough draft script, or one page treatment, ready by the first day of classes as writing and rewriting work begins in week one. Each student writes and directs their own film, and then they serve as crew members for their classmates when they direct their films.
Students can also choose to break the constraints of the traditional solo director/auteur theory, and choose to co-direct and Co-Create their film with a partner. Students with more experience in acting or performing can partner with other students who have more experience with writing, directing, or cinematography - and they can explore the opportunities within the emerging trend of Co-Creative filmmaking.
Students are guided by their Professor, and a Production Advisor, through all the production logistics that are necessary for successful filmmaking - including casting, art direction, props, locations, schedules, call times, insurance, equipment, wardrobe, effects, editing and more. During Morning Sessions, all work is discussed in class, and creative feedback is an essential component of the course. For the first third of the semester, Afternoon Sessions provide technical training on professional level videocameras, audio gear, lighting, and editing software. After the tech training period, Afternoon Sessions are reserved as optional practice sessions and/or filming periods. Midway through the semester, the final production period occurs over four consecutive weeks, and weekend work is required during this production period.",Bill Tunnicliffe,Image,,,4,,Fall/Spring,
Iconic Dances,,"This course is a laboratory for students interested in exploring the works of master choreographers, exposing them to an in-depth study of choreography by focusing on the steps, rhythm, structure, style and historical/conceptual contexts of iconic choreographic works ranging from 19th-century romantic ballet to contemporary work. This exploration will be accomplished physically: students will learn dance excerpts with attention to the physical details of steps, style and phrasing, allowing them to acclimate their own bodies to the universe of specific choreographies. Students will be able to execute these choreographic works while developing a deeper understanding for the choreographers’ creative process and artistic decisions, inviting them to physically experience major artistic shifts in19th- and 20th-century dance aesthetics as they immerse themselves in the process of choreographic reconstruction.  From classical ballet’s ideals of beauty, to the uses of narrative and the social/political/religious function of classicism, and finally through to the deconstruction of dance tradition in postmodern performances, this course exposes students to dance’s living archive while encouraging them to develop a critical perspective on the art of dance, its historical impact and future directions. Each session will be devoted to the recreation of seminal works from a variety of styles—Cambodian dance, Ballet, modern dance, postmodern dance, etc. Beginning with a twenty-minute warm-up based on a physical technique tailored to each specific style (whether a simple ballet warm-up, basic Horton technique, Pilate’s based exercises, etc.), physical technique will be complemented with readings, viewings and discussion that focus on each historical work. All readings and viewings will be uploaded to create easy access for students. For midterm, students will perform one of the works already covered. For the final project, students will choose a favorite work covered over the semester and develop—in dialogue with the instructor—a solo, duet or a small group piece based on this work. For two weeks preceding these projects, students will build a compositional method based on the creative process of their chosen work. Details and guidelines about the final project will be discussed individually with the instructor. In addition, students will write a three-page paper on their chosen work due on the penultimate week, with guidelines distributed at the beginning of the semester.",Manou Phuon,Performance,,,4,,Fall,
Dancing Body in Practice and Theory,,"Part studio and part seminar, The Dancing Body focuses on the practice and history of movement and choreography in the context of Modern Dance and Performance Art in the second half of the 20th century. Though the exploration of ideas in cultural studies/dance studies essays, reviews, and writings by dance artists, students will engage with a range of physical activities and conceptual performances in practice and theory. This course offers a unique opportunity for students to simultaneously pursue creative/physical practices while exploring the intellectual discourse that informs them. The goal of this class is to generate an artistic environment where students develop collaborative relationships throughout the creative process individually as well as collectively.",Pat Hoffbaue,Performance,,,4,,Spring,
